Age,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,MaritalStatus,JobSatisfaction,Attrition,AttritionRiskScore,RiskBand,EmployeeID,IncomeBand,DeptShort,TenureBucket
43,Sales,Sales Representative,No,5274,2,Single,2,0,0.441,Medium,EMP1100,3-6K,Sales,2-3y
36,Sales,Sales Executive,No,2406,0,Married,3,0,0.08,Low,EMP1101,<3K,Sales,0-1y
19,Research & Development,Research Scientist,No,13212,8,Single,2,0,0.19,Low,EMP1102,10K+,R&D,6-10y
25,Human Resources,Manager,No,5986,14,Married,3,0,0.035,Low,EMP1103,3-6K,HR,10y+
48,Sales,Sales Executive,No,3301,3,Single,2,0,0.153,Low,EMP1104,3-6K,Sales,2-3y
29,Sales,Manager,No,3698,3,Divorced,3,0,0.126,Low,EMP1105,3-6K,Sales,2-3y
30,Research & Development,Healthcare Representative,Yes,1921,25,Divorced,2,0,0.119,Low,EMP1106,<3K,R&D,10y+
35,Research & Development,Healthcare Representative,No,2966,9,Single,2,0,0.178,Low,EMP1107,<3K,R&D,6-10y
27,Research & Development,Laboratory Technician,Yes,9499,7,Married,1,1,0.412,Medium,EMP1108,6-10K,R&D,6-10y
25,Sales,Manager,No,18536,1,Married,3,0,0.082,Low,EMP1109,10K+,Sales,0-1y
36,Research & Development,Research Director,No,8099,7,Divorced,4,0,0.069,Low,EMP1110,6-10K,R&D,6-10y
28,Research & Development,Laboratory Technician,Yes,5163,0,Married,3,1,0.572,Medium,EMP1111,3-6K,R&D,0-1y
30,Research & Development,Healthcare Representative,No,4283,1,Single,3,0,0.315,Medium,EMP1112,3-6K,R&D,0-1y
29,Research & Development,Research Scientist,No,3209,3,Married,4,0,0.111,Low,EMP1113,3-6K,R&D,2-3y
41,Research & Development,Healthcare Representative,No,16862,1,Single,1,0,0.129,Low,EMP1114,10K+,R&D,0-1y
34,Sales,Sales Representative,Yes,4896,2,Married,4,0,0.551,Medium,EMP1115,3-6K,Sales,2-3y
35,Sales,Manager,Yes,17389,2,Single,1,0,0.41,Medium,EMP1116,10K+,Sales,2-3y
42,Sales,Sales Executive,No,11689,5,Married,3,0,0.119,Low,EMP1117,10K+,Sales,4-5y
35,Research & Development,Research Scientist,Yes,2085,2,Divorced,4,0,0.454,Medium,EMP1118,<3K,R&D,2-3y
34,Research & Development,Research Scientist,Yes,3765,2,Single,4,1,0.533,Medium,EMP1119,3-6K,R&D,2-3y
41,Research & Development,Research Scientist,No,3759,11,Married,2,0,0.125,Low,EMP1120,3-6K,R&D,10y+
43,Research & Development,Research Scientist,Yes,5198,9,Married,4,0,0.242,Low,EMP1121,3-6K,R&D,6-10y
35,Research & Development,Research Scientist,Yes,5254,0,Single,3,0,0.573,Medium,EMP1122,3-6K,R&D,0-1y
37,Research & Development,Laboratory Technician,No,19999,1,Married,1,0,0.191,Low,EMP1123,10K+,R&D,0-1y
29,Research & Development,Healthcare Representative,No,3003,10,Married,1,0,0.173,Low,EMP1124,3-6K,R&D,6-10y
29,Research & Development,Manufacturing Director,No,6160,0,Married,4,0,0.144,Low,EMP1125,6-10K,R&D,0-1y
43,Research & Development,Research Director,No,7624,1,Divorced,4,0,0.098,Low,EMP1126,6-10K,R&D,0-1y
41,Research & Development,Healthcare Representative,No,5426,4,Married,4,0,0.011,Low,EMP1127,3-6K,R&D,4-5y
41,Research & Development,Laboratory Technician,Yes,5770,4,Married,2,1,0.457,Medium,EMP1128,3-6K,R&D,4-5y
39,Research & Development,Laboratory Technician,No,3057,3,Single,2,0,0.267,Low,EMP1129,3-6K,R&D,2-3y
37,Research & Development,Manufacturing Director,No,5759,2,Single,4,1,0.097,Low,EMP1130,3-6K,R&D,2-3y
43,Sales,Sales Representative,No,7195,5,Single,1,0,0.337,Medium,EMP1131,6-10K,Sales,4-5y
45,Research & Development,Research Scientist,No,6504,6,Divorced,4,0,0.021,Low,EMP1132,6-10K,R&D,6-10y
45,Research & Development,Healthcare Representative,No,7432,8,Divorced,3,0,0.064,Low,EMP1133,6-10K,R&D,6-10y
36,Research & Development,Manufacturing Director,Yes,11812,3,Divorced,3,1,0.25,Low,EMP1134,10K+,R&D,2-3y
49,Research & Development,Healthcare Representative,Yes,9093,0,Single,2,0,0.412,Medium,EMP1135,6-10K,R&D,0-1y
39,Human Resources,Human Resources,Yes,5648,4,Married,4,0,0.211,Low,EMP1136,3-6K,HR,4-5y
42,Research & Development,Research Director,No,2851,6,Divorced,3,0,0.13,Low,EMP1137,<3K,R&D,6-10y
39,Sales,Sales Executive,No,3904,17,Married,1,0,0.068,Low,EMP1138,3-6K,Sales,10y+
39,Research & Development,Manufacturing Director,No,4813,3,Single,3,0,0.192,Low,EMP1139,3-6K,R&D,2-3y
30,Research & Development,Manufacturing Director,Yes,6240,2,Divorced,4,1,0.289,Low,EMP1140,6-10K,R&D,2-3y
43,Research & Development,Research Director,No,4175,11,Single,1,0,0.131,Low,EMP1141,3-6K,R&D,10y+
60,Sales,Sales Executive,No,3246,0,Single,3,0,0.168,Low,EMP1142,3-6K,Sales,0-1y
33,Research & Development,Research Scientist,Yes,2825,2,Divorced,1,1,0.551,Medium,EMP1143,<3K,R&D,2-3y
37,Research & Development,Research Scientist,Yes,2190,4,Married,3,0,0.314,Medium,EMP1144,<3K,R&D,4-5y
32,Research & Development,Research Scientist,Yes,4773,1,Married,4,0,0.337,Medium,EMP1145,3-6K,R&D,0-1y
32,Research & Development,Laboratory Technician,No,2420,9,Married,2,0,0.149,Low,EMP1146,<3K,R&D,6-10y
50,Research & Development,Laboratory Technician,Yes,3132,4,Divorced,1,0,0.426,Medium,EMP1147,3-6K,R&D,4-5y
30,Research & Development,Research Scientist,No,4373,18,Single,1,0,0.077,Low,EMP1148,3-6K,R&D,10y+
32,Research & Development,Manufacturing Director,No,2605,2,Married,3,0,0.149,Low,EMP1149,<3K,R&D,2-3y
22,Sales,Sales Representative,No,6693,1,Married,4,0,0.333,Medium,EMP1150,6-10K,Sales,0-1y
30,Sales,Sales Representative,No,8161,10,Single,2,0,0.268,Low,EMP1151,6-10K,Sales,6-10y
21,Research & Development,Healthcare Representative,No,4015,3,Married,4,0,0.158,Low,EMP1152,3-6K,R&D,2-3y
42,Research & Development,Research Scientist,No,4271,7,Married,2,0,0.087,Low,EMP1153,3-6K,R&D,6-10y
60,Research & Development,Research Director,Yes,7299,3,Single,1,0,0.369,Medium,EMP1154,6-10K,R&D,2-3y
33,Sales,Manager,No,3667,0,Married,3,0,0.136,Low,EMP1155,3-6K,Sales,0-1y
21,Research & Development,Laboratory Technician,Yes,3531,0,Married,4,1,0.655,High,EMP1156,3-6K,R&D,0-1y
45,Sales,Sales Executive,No,10488,2,Married,2,0,0.053,Low,EMP1157,10K+,Sales,2-3y
30,Sales,Sales Executive,No,8833,0,Married,4,0,0.073,Low,EMP1158,6-10K,Sales,0-1y
48,Sales,Sales Executive,No,7561,0,Divorced,3,0,0.11,Low,EMP1159,6-10K,Sales,0-1y
34,Research & Development,Research Scientist,No,9037,14,Married,2,0,0.061,Low,EMP1160,6-10K,R&D,10y+
31,Sales,Sales Executive,Yes,1830,1,Married,3,0,0.467,Medium,EMP1161,<3K,Sales,0-1y
35,Research & Development,Laboratory Technician,No,11437,4,Married,2,0,0.201,Low,EMP1162,10K+,R&D,4-5y
43,Research & Development,Manufacturing Director,No,6738,0,Married,1,0,0.193,Low,EMP1163,6-10K,R&D,0-1y
34,Research & Development,Healthcare Representative,No,9470,2,Single,4,0,0.082,Low,EMP1164,6-10K,R&D,2-3y
32,Research & Development,Research Scientist,No,6720,1,Single,2,1,0.274,Low,EMP1165,6-10K,R&D,0-1y
35,Sales,Manager,No,5579,2,Single,3,0,0.208,Low,EMP1166,3-6K,Sales,2-3y
25,Sales,Sales Representative,No,4668,10,Married,3,1,0.204,Low,EMP1167,3-6K,Sales,6-10y
40,Research & Development,Research Director,Yes,6647,2,Divorced,1,0,0.392,Medium,EMP1168,6-10K,R&D,2-3y
20,Human Resources,Human Resources,No,4575,5,Married,3,0,0.098,Low,EMP1169,3-6K,HR,4-5y
33,Research & Development,Manufacturing Director,Yes,8754,1,Married,2,0,0.439,Medium,EMP1170,6-10K,R&D,0-1y
43,Research & Development,Healthcare Representative,No,2269,6,Married,3,0,0.115,Low,EMP1171,<3K,R&D,6-10y
39,Research & Development,Laboratory Technician,No,4032,0,Married,2,0,0.201,Low,EMP1172,3-6K,R&D,0-1y
42,Sales,Manager,Yes,16724,5,Married,4,0,0.105,Low,EMP1173,10K+,Sales,4-5y
36,Research & Development,Research Scientist,No,3849,6,Married,1,0,0.071,Low,EMP1174,3-6K,R&D,6-10y
47,Research & Development,Manufacturing Director,No,4763,0,Married,1,1,0.125,Low,EMP1175,3-6K,R&D,0-1y
45,Research & Development,Healthcare Representative,Yes,3342,0,Single,2,0,0.526,Medium,EMP1176,3-6K,R&D,0-1y
41,Human Resources,Manager,Yes,6533,5,Married,1,0,0.267,Low,EMP1177,6-10K,HR,4-5y
45,Sales,Sales Executive,Yes,3622,2,Married,1,0,0.411,Medium,EMP1178,3-6K,Sales,2-3y
43,Sales,Manager,Yes,4904,9,Married,3,0,0.253,Low,EMP1179,3-6K,Sales,6-10y
33,Sales,Sales Representative,No,8663,24,Divorced,4,0,0.061,Low,EMP1180,6-10K,Sales,10y+
24,Sales,Manager,No,3698,3,Divorced,3,0,0.161,Low,EMP1181,3-6K,Sales,2-3y
40,Research & Development,Manufacturing Director,Yes,8381,4,Married,2,1,0.297,Low,EMP1182,6-10K,R&D,4-5y
41,Research & Development,Healthcare Representative,No,8537,1,Single,4,0,0.134,Low,EMP1183,6-10K,R&D,0-1y
46,Sales,Sales Representative,Yes,9703,17,Married,2,0,0.179,Low,EMP1184,6-10K,Sales,10y+
28,Sales,Manager,No,5868,4,Divorced,1,0,0.15,Low,EMP1185,3-6K,Sales,4-5y
28,Research & Development,Research Director,No,19999,3,Divorced,4,0,0.053,Low,EMP1186,10K+,R&D,2-3y
41,Research & Development,Research Director,No,9701,3,Divorced,3,0,0.093,Low,EMP1187,6-10K,R&D,2-3y
36,Sales,Sales Representative,Yes,6494,0,Single,2,1,0.864,High,EMP1188,6-10K,Sales,0-1y
20,Research & Development,Healthcare Representative,No,3355,5,Married,3,0,0.185,Low,EMP1189,3-6K,R&D,4-5y
40,Sales,Sales Representative,No,5149,0,Divorced,3,1,0.188,Low,EMP1190,3-6K,Sales,0-1y
20,Research & Development,Manufacturing Director,Yes,11902,0,Married,1,0,0.554,Medium,EMP1191,10K+,R&D,0-1y
28,Research & Development,Healthcare Representative,Yes,13908,5,Married,1,0,0.323,Medium,EMP1192,10K+,R&D,4-5y
49,Sales,Sales Executive,Yes,12247,0,Married,3,0,0.301,Medium,EMP1193,10K+,Sales,0-1y
53,Research & Development,Healthcare Representative,No,8365,3,Married,1,0,0.069,Low,EMP1194,6-10K,R&D,2-3y
26,Research & Development,Laboratory Technician,No,2722,4,Single,3,0,0.398,Medium,EMP1195,<3K,R&D,4-5y
34,Research & Development,Manufacturing Director,No,7100,0,Single,2,0,0.357,Medium,EMP1196,6-10K,R&D,0-1y
37,Sales,Sales Representative,No,2744,1,Divorced,1,0,0.376,Medium,EMP1197,<3K,Sales,0-1y
53,Research & Development,Manufacturing Director,No,2396,7,Divorced,3,0,0.066,Low,EMP1198,<3K,R&D,6-10y
32,Research & Development,Manufacturing Director,No,6195,4,Divorced,2,0,0.096,Low,EMP1199,6-10K,R&D,4-5y
32,Sales,Sales Representative,Yes,7242,2,Married,2,0,0.727,High,EMP1200,6-10K,Sales,2-3y
50,Human Resources,Human Resources,No,8927,1,Single,1,0,0.111,Low,EMP1201,6-10K,HR,0-1y
33,Research & Development,Manufacturing Director,No,7139,4,Single,3,0,0.192,Low,EMP1202,6-10K,R&D,4-5y
43,Research & Development,Manufacturing Director,No,7276,2,Divorced,4,0,0.062,Low,EMP1203,6-10K,R&D,2-3y
23,Research & Development,Healthcare Representative,No,3160,3,Married,3,1,0.175,Low,EMP1204,3-6K,R&D,2-3y
35,Research & Development,Manufacturing Director,No,5126,5,Divorced,1,0,0.086,Low,EMP1205,3-6K,R&D,4-5y
22,Research & Development,Healthcare Representative,No,2371,9,Married,4,0,0.176,Low,EMP1206,<3K,R&D,6-10y
27,Sales,Manager,No,1804,19,Married,1,0,0.086,Low,EMP1207,<3K,Sales,10y+
44,Research & Development,Research Director,No,8162,7,Divorced,2,0,0.028,Low,EMP1208,6-10K,R&D,6-10y
36,Research & Development,Laboratory Technician,No,3589,5,Single,1,0,0.407,Medium,EMP1209,3-6K,R&D,4-5y
34,Sales,Manager,Yes,8776,19,Divorced,4,0,0.088,Low,EMP1210,6-10K,Sales,10y+
30,Research & Development,Research Scientist,Yes,9992,1,Married,1,0,0.451,Medium,EMP1211,6-10K,R&D,0-1y
35,Research & Development,Laboratory Technician,No,3863,3,Single,3,1,0.342,Medium,EMP1212,3-6K,R&D,2-3y
39,Sales,Manager,Yes,7515,3,Single,1,0,0.543,Medium,EMP1213,6-10K,Sales,2-3y
45,Sales,Sales Executive,No,3775,5,Divorced,1,0,0.028,Low,EMP1214,3-6K,Sales,4-5y
18,Sales,Manager,Yes,1967,5,Married,3,0,0.542,Medium,EMP1215,<3K,Sales,4-5y
29,Research & Development,Healthcare Representative,Yes,5812,15,Married,4,0,0.173,Low,EMP1216,3-6K,R&D,10y+
38,Research & Development,Research Director,No,4192,0,Divorced,1,0,0.167,Low,EMP1217,3-6K,R&D,0-1y
36,Sales,Manager,Yes,4263,3,Married,1,0,0.432,Medium,EMP1218,3-6K,Sales,2-3y
40,Research & Development,Research Director,No,16097,2,Divorced,2,0,0.013,Low,EMP1219,10K+,R&D,2-3y
39,Research & Development,Laboratory Technician,No,2346,0,Divorced,4,0,0.201,Low,EMP1220,<3K,R&D,0-1y
34,Research & Development,Research Director,Yes,6704,0,Single,1,0,0.606,High,EMP1221,6-10K,R&D,0-1y
32,Sales,Sales Executive,No,3142,1,Married,1,0,0.2,Low,EMP1222,3-6K,Sales,0-1y
34,Human Resources,Human Resources,No,8951,2,Single,2,0,0.207,Low,EMP1223,6-10K,HR,2-3y
47,Research & Development,Laboratory Technician,No,6400,11,Married,2,0,0.136,Low,EMP1224,6-10K,R&D,10y+
30,Sales,Sales Representative,No,6691,2,Married,1,0,0.32,Medium,EMP1225,6-10K,Sales,2-3y
36,Research & Development,Healthcare Representative,No,3230,4,Divorced,3,0,0.179,Low,EMP1226,3-6K,R&D,4-5y
38,Research & Development,Research Scientist,No,3565,5,Single,3,0,0.209,Low,EMP1227,3-6K,R&D,4-5y
51,Research & Development,Research Director,No,9045,4,Married,1,0,0.065,Low,EMP1228,6-10K,R&D,4-5y
34,Research & Development,Healthcare Representative,No,14384,2,Married,3,0,0.041,Low,EMP1229,10K+,R&D,2-3y
45,Research & Development,Healthcare Representative,No,7073,11,Single,1,0,0.056,Low,EMP1230,6-10K,R&D,10y+
48,Research & Development,Research Director,No,3315,10,Divorced,3,0,0.075,Low,EMP1231,3-6K,R&D,6-10y
36,Human Resources,Human Resources,No,6544,3,Divorced,2,0,0.096,Low,EMP1232,6-10K,HR,2-3y
35,Research & Development,Research Scientist,No,19999,0,Single,1,0,0.197,Low,EMP1233,10K+,R&D,0-1y
34,Sales,Manager,No,5746,2,Single,1,0,0.24,Low,EMP1234,3-6K,Sales,2-3y
34,Sales,Sales Representative,No,12136,1,Divorced,4,0,0.138,Low,EMP1235,10K+,Sales,0-1y
44,Research & Development,Healthcare Representative,Yes,3614,3,Single,3,0,0.445,Medium,EMP1236,3-6K,R&D,2-3y
39,Sales,Sales Executive,Yes,5307,2,Single,3,1,0.449,Medium,EMP1237,3-6K,Sales,2-3y
39,Research & Development,Research Scientist,No,7637,3,Divorced,1,0,0.127,Low,EMP1238,6-10K,R&D,2-3y
26,Research & Development,Laboratory Technician,No,6758,5,Divorced,1,0,0.298,Low,EMP1239,6-10K,R&D,4-5y
28,Sales,Sales Executive,No,3563,5,Married,1,0,0.191,Low,EMP1240,3-6K,Sales,4-5y
56,Sales,Sales Executive,Yes,3479,5,Married,2,0,0.221,Low,EMP1241,3-6K,Sales,4-5y
35,Research & Development,Healthcare Representative,No,9353,6,Divorced,2,0,0.105,Low,EMP1242,6-10K,R&D,6-10y
30,Research & Development,Laboratory Technician,No,10460,7,Married,4,0,0.047,Low,EMP1243,10K+,R&D,6-10y
